batter, batter_name, des, description, game_pk, hc_x, hc_y, hit_angle, hit_distance, hit_speed, inning, outs, pitcher, pitcher_name, play_id, team_batting, team_fielding, date
673962, Jung, Josh, double, hit_into_play, 745039, 217.58, 106.96, 25, 319, 97.1, 4, 1, 657006, Grinch, Unknown, Unknown, Unknown, 2024-03-28
596146, Kepler, Max, field_out, hit_into_play, 746335, 155.29, 58.52, 40, 355, 97.1, 3, 2, 666142, Grinch, Unknown, Unknown, Unknown, 2024-03-28
571448, Arenado, Nolan, field_out, hit_into_play, 746165, 111.8, 78.2, 44, 302, 93.2, 4, 1, 607192, Grinch, Unknown, Unknown, Unknown, 2024-03-28
641598, Garver, Mitch, field_out, hit_into_play, 745283, 111.63, 42.16, 22, 388, 101.3, 4, 0, 678394, Grinch, Unknown, Unknown, Unknown, 2024-03-28
647304, Naylor, Josh, double, hit_into_play, 745687, 49.28, 71.92, 19, 366, 107.8, 4, 1, 622072, Grinch, Unknown, Unknown, Unknown, 2024-03-28
668715, Steer, Spencer, double, hit_into_play, 746737, 195.04, 77.05, 22, 346, 95, 3, 1, 680686, Grinch, Unknown, Unknown, Unknown, 2024-03-28
605361, Martini, Nick, home_run, hit_into_play, 746737, 179.85, 47.65, 23, 389, 100.8, 3, 1, 680686, Grinch, Unknown, Unknown, Unknown, 2024-03-28
691023, Walker, Jordan, field_out, hit_into_play, 746165, 118.81, 71.87, 41, 316, 92.7, 5, 0, 607192, Grinch, Unknown, Unknown, Unknown, 2024-03-28
571745, Haniger, Mitch, home_run, hit_into_play, 745283, 205.43, 71.02, 26, 372, 102.1, 4, 2, 678394, Grinch, Unknown, Unknown, Unknown, 2024-03-28
624415, Biggio, Cavan, home_run, hit_into_play, 745116, 208.26, 75.84, 25, 366, 99.6, 6, 1, 621107, Grinch, Unknown, Unknown, Unknown, 2024-03-28
677649, Duran, Ezequiel, double, hit_into_play, 745039, 158.44, 57.04, 21, 361, 100.8, 5, 0, 657006, Grinch, Unknown, Unknown, Unknown, 2024-03-28
592696, Rosario, Eddie, field_out, hit_into_play, 746737, 127.33, 73.63, 25, 312, 88.4, 5, 1, 593423, Grinch, Unknown, Unknown, Unknown, 2024-03-28
680779, Davis, Henry, field_out, hit_into_play, 746089, 106.12, 78.24, 43, 305, 90.7, 4, 0, 666200, Grinch, Unknown, Unknown, Unknown, 2024-03-28
605113, Ahmed, Nick, field_out, hit_into_play, 745445, 147.66, 60.9, 24, 347, 96.8, 5, 1, 506433, Grinch, Unknown, Unknown, Unknown, 2024-03-28
665489, Guerrero Jr., Vladimir, home_run, hit_into_play, 745116, 109.55, 17.44, 29, 450, 111.8, 6, 2, 621107, Grinch, Unknown, Unknown, Unknown, 2024-03-28
595879, Báez, Javier, field_out, hit_into_play, 746821, 172.74, 83.91, 33, 308, 89.8, 5, 0, 676979, Grinch, Unknown, Unknown, Unknown, 2024-03-28
660707, Montero, Elehuris, field_out, hit_into_play, 747224, 133.3, 49.27, 19, 371, 102.4, 4, 2, 668678, Grinch, Unknown, Unknown, Unknown, 2024-03-28
672580, Garcia, Maikel, field_out, hit_into_play, 746335, 113.65, 39.89, 30, 393, 101.3, 6, 0, 641154, Grinch, Unknown, Unknown, Unknown, 2024-03-28
665862, Chisholm Jr., Jazz, field_out, hit_into_play, 746089, 178.5, 67.33, 30, 349, 93.4, 5, 0, 656605, Grinch, Unknown, Unknown, Unknown, 2024-03-28
670032, Lopez, Nicky, field_out, hit_into_play, 746821, 124.6, 75.94, 14, 306, 100.3, 5, 2, 669373, Grinch, Unknown, Unknown, Unknown, 2024-03-28
681351, O'Hoppe, Logan, field_out, hit_into_play, 747060, 74.99, 55.05, 29, 376, 97.1, 6, 0, 669203, Grinch, Unknown, Unknown, Unknown, 2024-03-28
650907, Pinto, René, double, hit_into_play, 745116, 216.04, 95.26, 31, 338, 98.2, 6, 0, 621244, Grinch, Unknown, Unknown, Unknown, 2024-03-28
521692, Perez, Salvador, field_out, hit_into_play, 746335, 61.36, 74.14, 45, 347, 102.3, 7, 0, 641154, Grinch, Unknown, Unknown, Unknown, 2024-03-28
621043, Correa, Carlos, field_out, hit_into_play, 746335, 121.89, 55.72, 31, 354, 91.8, 5, 2, 666142, Grinch, Unknown, Unknown, Unknown, 2024-03-28
667670, Rooker, Brent, field_out, hit_into_play, 745687, 108.37, 52.02, 37, 366, 102.2, 6, 2, 669456, Grinch, Unknown, Unknown, Unknown, 2024-03-28
673357, Robert Jr., Luis, field_out, hit_into_play, 746821, 87.02, 71.68, 43, 330, 102.3, 6, 2, 669373, Grinch, Unknown, Unknown, Unknown, 2024-03-28
677594, Rodríguez, Julio, field_out, hit_into_play, 745283, 199.31, 101.97, 20, 301, 98.2, 5, 2, 678394, Grinch, Unknown, Unknown, Unknown, 2024-03-28
668227, Arozarena, Randy, field_out, hit_into_play, 745116, 128.53, 73.61, 39, 311, 89.3, 6, 0, 621244, Grinch, Unknown, Unknown, Unknown, 2024-03-28
641343, Bauers, Jake, double, hit_into_play, 745848, 211.55, 110.68, 24, 302, 96.2, 7, 0, 605347, Grinch, Unknown, Unknown, Unknown, 2024-03-29
645277, Albies, Ozzie, field_out, hit_into_play, 745604, 122.6, 62.17, 37, 339, 96.2, 1, 0, 554430, Grinch, Unknown, Unknown, Unknown, 2024-03-29
668709, Bleday, JJ, field_out, hit_into_play, 745682, 145.1, 77.1, 27, 307, 84, 9, 0, 661403, Grinch, Unknown, Unknown, Unknown, 2024-03-29
663656, Tucker, Kyle, field_out, hit_into_play, 746412, 132.98, 43.56, 30, 385, 99.3, 9, 2, 690925, Grinch, Unknown, Unknown, Unknown, 2024-03-29
605141, Betts, Mookie, home_run, hit_into_play, 746167, 32.07, 70.48, 31, 392, 100, 1, 0, 668868, Grinch, Unknown, Unknown, Unknown, 2024-03-29
641487, Crawford, J.P., field_out, hit_into_play, 745276, 105.95, 80.37, 17, 300, 96.9, 1, 0, 601713, Grinch, Unknown, Unknown, Unknown, 2024-03-29
514888, Altuve, Jose, double, hit_into_play, 746412, 44.06, 107.7, 20, 301, 104.7, 1, 0, 607074, Grinch, Unknown, Unknown, Unknown, 2024-03-29
542303, Ozuna, Marcell, field_out, hit_into_play, 745604, 193.82, 85.79, 39, 327, 96.9, 8, 0, 621237, Grinch, Unknown, Unknown, Unknown, 2024-03-29
547989, Abreu, José, field_out, hit_into_play, 746412, 148.47, 95.31, 29, 320, 88.1, 7, 2, 657571, Grinch, Unknown, Unknown, Unknown, 2024-03-29
662139, Varsho, Daulton, field_out, hit_into_play, 745117, 159.2, 52.14, 33, 372, 98.6, 7, 0, 606965, Grinch, Unknown, Unknown, Unknown, 2024-03-29
642731, Estrada, Thairo, field_out, hit_into_play, 745435, 178.98, 63.62, 31, 359, 97.6, 8, 0, 660853, Grinch, Unknown, Unknown, Unknown, 2024-03-29
606115, Arcia, Orlando, double, hit_into_play, 745604, 90.98, 65.65, 27, 375, 97.6, 7, 1, 621381, Grinch, Unknown, Unknown, Unknown, 2024-03-29
665742, Soto, Juan, double, hit_into_play, 746412, 84, 117.76, 25, 335, 95.6, 8, 2, 656232, Grinch, Unknown, Unknown, Unknown, 2024-03-29
677950, Thomas, Alek, home_run, hit_into_play, 747223, 212.68, 62.23, 33, 399, 105.1, 6, 0, 656234, Grinch, Unknown, Unknown, Unknown, 2024-03-29
665487, Tatis Jr., Fernando, field_out, hit_into_play, 745435, 199.71, 87.68, 45, 329, 99.7, 1, 1, 690986, Grinch, Unknown, Unknown, Unknown, 2024-03-29
672695, Perdomo, Geraldo, field_out, hit_into_play, 747223, 118.85, 56.33, 30, 353, 91.6, 6, 0, 656234, Grinch, Unknown, Unknown, Unknown, 2024-03-29
669397, Allen, Nick, field_out, hit_into_play, 745682, 90.64, 77.14, 18, 314, 94.6, 7, 1, 683769, Grinch, Unknown, Unknown, Unknown, 2024-03-29
