"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length"
"FC","2024-06-18","90.9","-2.93","5.59","Greene, Riley",682985,680885,"triple","hit_into_play",,,,,6,"Riley Greene triples (3) on a fly ball to center fielder Jarred Kelenic.","R","L","R","ATL","DET","X",8,"fly_ball",0,0,2024,"0","0.71","0.54","2.56",,,,0,6,"Top",158.84,54.79,,,518595,,,8.810916934570178,-132.2028571420499,-3.258853582042356,-1.7388470932497617,25.737990549033526,-23.34091865570468,"3.62","1.69",365,"95",29,"92.3",2331,"7",747107,680885,518595,621566,645277,663586,606115,657088,672284,594807,"53.54",0.231,0.408,"1.6",1,1,2,5,42,1,"Cutter",2,0,0,2,0,2,0,2,"Infield shade","Standard",208,"-0.11","0.921",78.19063248149037,"7.38472"
"FF","2024-06-18","91.7","1.96","6.55","Freeman, Freddie",518692,596295,"field_out","hit_into_play",,,,,2,"Freddie Freeman lines out to left fielder Nolan Jones.","R","L","L","COL","LAD","X",7,"line_drive",0,0,2024,"0.64","1.33","-0.06","3.26",,,,1,6,"Top",34.35,110.25,,,696100,,,-6.5464924934371815,-133.47675214112502,-5.444193525458214,8.969201688159336,25.678785527247197,-15.310104333204713,"3.64","1.8",314,"92.3",25,"93.1",2190,"6.8",746542,596295,696100,669911,676701,641857,678662,666134,686668,595909,"53.66",0.137,0.189,"0",1,0,0,3,47,1,"4-Seam Fastball",7,3,3,7,3,7,3,7,"Infield shade","Standard",154,"0.01","-0.163",68.840834870019,"5.96835"
"SI","2024-06-18","92.6","-2.25","6.1","Langford, Wyatt",694671,622663,"home_run","hit_into_play",,,,,7,"Wyatt Langford homers (2) on a fly ball to left center field.","R","R","R","TEX","NYM","X",,"fly_ball",0,1,2024,"-1.18","1.2","-0.37","2.12",,,,2,5,"Bot",71.4,40.25,,,682626,,,7.3182640656792985,-134.4715371941491,-6.867216271977613,-15.87602657674442,30.444449020477446,-16.31911374526461,"3.32","1.59",414,"107.1",28,"91.8",2082,"6",745004,622663,682626,624413,643446,668901,596019,607043,664056,516782,"54.51",0.946,1.894,"2",1,0,3,6,42,2,"Sinker",5,2,5,2,2,6,6,2,"Strategic","Standard",212,"0.052","1.013",76.03602930206966,"7.38617"
"SI","2024-06-18","93.7","-2.19","5.78","Bregman, Alex",608324,686563,"field_out","hit_into_play",,,,,2,"Alex Bregman flies out to right fielder Tommy Pham.","R","R","R","CWS","HOU","X",9,"fly_ball",0,0,2024,"-1.08","0.33","-0.05","3.05",,,,2,6,"Top",199.06,88.4,,,686676,,,7.913438958867007,-136.34593128180072,-2.0910750181699163,-15.196671942248596,27.779789758209642,-27.757814910149538,"3.31","1.59",328,"92.8",35,"93.9",2011,"6.3",746783,686563,686676,683734,664901,672820,657557,643217,673357,502054,"54.25",0.066,0.128,"0",1,0,0,3,43,1,"Sinker",2,0,0,2,0,2,0,2,"Infield shade","Standard",231,"0.012","-0.094",69.60997370661653,"6.21942"
"CH","2024-06-18","84.8","-1.59","5.66","Nimmo, Brandon",607043,547179,"home_run","hit_into_play",,,,,4,"Brandon Nimmo homers (9) on a fly ball to right center field.","R","L","R","TEX","NYM","X",,"fly_ball",1,0,2024,"-1.31","0.84","-0.44","2.64",,,,0,6,"Top",193.96,68.44,,,641680,,,5.270697075947317,-123.43962374195202,-2.388281406698328,-14.407326380800153,24.379936246994294,-23.348007252838862,"3.38","1.59",364,"99.5",35,"84.5",1957,"6",745004,547179,641680,663993,543760,677649,608369,694671,665750,608671,"54.45",0.28,0.541,"2",1,0,3,5,44,2,"Changeup",6,2,2,6,3,6,3,6,"Standard","Standard",245,"-0.054","0.967",68.60815322638383,"8.06789"
"CH","2024-06-18","82.8","-1.93","5.99","Lowe, Nathaniel",663993,622663,"field_out","hit_into_play",,,,,4,"Nathaniel Lowe flies out to left fielder Brandon Nimmo.","R","L","R","TEX","NYM","X",7,"fly_ball",0,0,2024,"-1.26","0.43","-0.37","2.19",,,,1,5,"Bot",75.97,79.61,,,682626,,,6.013262504238723,-120.38287229532482,-2.9683169135770626,-13.423165855016011,24.9389435620404,-27.58598766228369,"3.47","1.56",320,"90.2",33,"82.5",1588,"6.3",745004,622663,682626,624413,643446,668901,596019,607043,664056,516782,"54.2",0.034,0.047,"0",1,0,0,3,41,1,"Changeup",5,2,5,2,2,5,5,2,"Strategic","Standard",241,"-0.007","-0.163",64.40544211777899,"7.60746"
"FC","2024-06-18","93.1","-1.9","6.13","Smith, Josh",669701,622663,"home_run","hit_into_play",,,,,6,"Josh Smith homers (5) on a fly ball to right center field.    Leody Taveras scores.    Corey Seager scores.","R","L","R","TEX","NYM","X",,"fly_ball",0,0,2024,"0.06","0.47","0.29","2.35",665750,,608369,1,5,"Bot",202.08,70.05,,,682626,,,5.460108987654644,-135.4628412348121,-4.893416261605819,-0.5946420764557829,31.592857670721166,-25.545156505809288,"3.2","1.52",370,"97.3",29,"92.4",2283,"6",745004,622663,682626,624413,643446,668901,596019,607043,664056,516782,"54.45",0.334,0.567,"2",1,0,3,5,40,1,"Cutter",2,2,2,2,2,5,5,2,"Standard","Standard",209,"0.23","1.987",75.03085665033184,"6.89568"
"KC","2024-06-18","77.8","-1.03","5.64","Doyle, Brenton",686668,621111,"home_run","hit_into_play",,,,,4,"Brenton Doyle homers (6) on a fly ball to left field.","R","R","R","COL","LAD","X",,"fly_ball",2,1,2024,"1.14","-0.96","-0.55","2.37",,,,2,4,"Bot",4.08,74.41,,,669257,,,-1.0570816251867121,-113.38114939251177,1.5864806839050412,10.035080890740986,19.09180083989651,-40.93402644398923,"3.37","1.59",427,"105.7",29,"78.3",2642,"6.4",746542,621111,669257,518692,621035,571771,500743,678246,681624,606192,"54.09",0.914,1.821,"2",1,0,3,6,35,4,"Knuckle Curve",6,2,6,2,2,7,7,2,"Standard","Strategic",39,"0.037","0.98",73.30179381077036,"7.56428"
"SL","2024-06-18","83.9","2.23","6.62","Ohtani, Shohei",660271,596295,"home_run","hit_into_play",,,,,6,"Shohei Ohtani homers (20) on a fly ball to center field.","R","L","L","COL","LAD","X",,"fly_ball",2,0,2024,"-0.38","0.18","0.42","2.34",,,,0,6,"Top",129.18,5.54,,,696100,,,-3.4681552868444157,-122.27095580991784,-4.013473729639825,-3.297320941637454,19.695515672867096,-29.888652384100343,"3.51","1.62",476,"113",30,"85.3",2353,"6.7",746542,596295,696100,669911,676701,641857,678662,666134,686668,595909,"53.79",0.991,2.008,"2",1,0,3,6,45,3,"Slider",7,2,2,7,3,7,3,7,"Infield shade","Standard",210,"-0.032","0.901",81.77912662666938,"7.82467"
"CH","2024-06-18","86.4","-1.76","4.7","Hoerner, Nico",663538,657277,"field_out","hit_into_play",,,,,13,"Nico Hoerner flies out to center fielder Heliot Ramos.","R","R","R","CHC","SF","X",8,"fly_ball",1,2,2024,"-1.41","-0.08","-0.99","1.28",,623520,665804,0,5,"Bot",104.33,78.14,,,592200,,,4.7989674955967425,-125.80065942677695,-1.773304873944392,-15.96952759145506,25.54195736082121,-32.91365339705239,"3.3","1.58",305,"91.1",52,"88.2",1619,"7.4",746867,657277,592200,527038,642731,656305,605113,596103,671218,573262,"53.13",0.003,0.003,"0",1,0,0,3,39,6,"Changeup",2,2,2,2,2,2,2,2,"Standard","Standard",266,"-0.064","-0.307",69.12587398581658,"8.37454"
